dose	response
1	0	0.2817
2	0	0.21
3	0	0
4	0	0.182
5	0	0.276
6	1	0.1959
7	1	0.1725
8	1	0.2332
9	1	0.2716
10	1	0.2887
11	2	0.2033
12	2	0.2181
13	2	0.3753
14	2	0.233
15	2	0.1048
16	3	0.1378
17	3	0.2254
18	3	0.2709
19	3	0.2591
20	3	0.1554
21	4	0.1456
22	4	0.277
23	4	0.2977
24	4	0.1649
25	4	0.3034
26	5	0.1725
27	5	0.0739
28	5	0.3643
29	5	0.206
30	5	0.2953
31	6	0.1491
32	6	0.2947
33	6	0.2003
34	6	0.1327
35	6	0.1844
36	7	0.3766
37	7	0.1225
38	7	0.1546
39	7	0.3955
40	7	0.2438
41	8	0.3327
42	8	0.3684
43	8	0.4792
44	8	0.2327
45	8	0.3681
46	9	0.3942
47	9	0.5272
48	9	0.3488
49	9	0.4393
50	9	0.6176
51	10	0.7205
52	10	0.8332
53	10	0.7314
54	10	0.4334
55	10	0.8909
56	11	0.892
57	11	0.8813
58	11	1.1316
59	11	0.92
60	11	0.6257
61	12	1.2176
62	12	1.0289
63	12	1.1338
64	12	0.9444
65	12	0.9203
66	13	1.1137
67	13	1.0991
68	13	1.1824
69	13	1.1317
70	13	1.0962
71	14	0.9594
72	14	1.1337
73	14	0.9499
74	14	1.0861
75	14	0.9897
76	15	1.3467
77	15	1.2601
78	15	1.2911
79	15	1.2528
80	15	1.2849
81	16	1.364
82	16	1.2735
83	16	1.0485
84	16	1.1425
85	16	1.3051
86	17	1.2205
87	17	1.29
88	17	0.9986
89	17	1.2695
90	17	1.2912
91	18	1.1326
92	18	1.2204
93	18	1.2351
94	18	1.1129
95	18	1.0983
96	19	1.045
97	19	1.2859
98	19	1.2502
99	19	1.2334
100	19	1.237
101	20	1.0157
102	20	1.2052
103	20	1.1704
104	20	1.215
105	20	1.2541
